GPH_code,GPH_name,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes
0,League of Nations,World,https://www.wikidata.org/wiki/Q38130,,,,
1,United Nations,World,https://www.wikidata.org/wiki/Q1065,,,,
2,United States of America,America,http://www.wikidata.org/entity/Q30,,,,
3,Alaska,America,http://www.wikidata.org/entity/Q797,,,,
4,Hawaii (Sandwich Is.),Oceania,http://www.wikidata.org/entity/Q782,,,,
5,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,
6,Puerto Rico,America,http://www.wikidata.org/entity/Q1183,,,,
7,Texas,America,http://www.wikidata.org/entity/Q1439,,,,
10,Greenland,America,http://www.wikidata.org/entity/Q223,,,,
11,Faeroe Is.,America,http://www.wikidata.org/entity/Q4628,,,,
20,Canada (Province of Canada),America,http://www.wikidata.org/entity/Q16,,,,
21,Newfoundland and Labrador (Newfoundland),America,http://www.wikidata.org/entity/Q2003,,,,
30,Bermuda,America,http://www.wikidata.org/entity/Q23635,,,,
31,Bahamas,America,http://www.wikidata.org/entity/Q778,,,,
40,Cuba,America,http://www.wikidata.org/entity/Q241,,,,
41,Haiti,America,http://www.wikidata.org/entity/Q790,,,,
42,Dominican Republic (Santo Domingo),America,http://www.wikidata.org/entity/Q786,,,,
50,West Indies Federation,America,http://www.wikidata.org/entity/Q652560,,,,
51,Jamaica,America,http://www.wikidata.org/entity/Q766,,,,
52,Trinidad and Tobago,America,http://www.wikidata.org/entity/Q754,,,,
53,Barbados,America,http://www.wikidata.org/entity/Q244,,,,
54,Dominica,America,http://www.wikidata.org/entity/Q784,,,,
55,Grenada,America,http://www.wikidata.org/entity/Q769,,,,
56,St. Lucia,America,http://www.wikidata.org/entity/Q760,,,,
57,St. Vincent and the Grenadines,America,http://www.wikidata.org/entity/Q757,,,,
58,Antigua and Barbuda,America,http://www.wikidata.org/entity/Q781,,,,
59,Montserrat,America,http://www.wikidata.org/entity/Q13353,,,,
60,St. Kitts-Nevis,America,http://www.wikidata.org/entity/Q763,,,,
65,Guadeloupe,America,http://www.wikidata.org/entity/Q17012,,,,
66,Martinique,America,http://www.wikidata.org/entity/Q17054,,,,
68,Netherlands Antilles,America,http://www.wikidata.org/entity/Q25227,,,,
70,Mexico,America,http://www.wikidata.org/entity/Q96,,,,
80,Belize (British Honduras),America,http://www.wikidata.org/entity/Q242,,,,
89,United States of Central America,America,http://www.wikidata.org/entity/Q190025,,,,
90,Guatemala,America,http://www.wikidata.org/entity/Q774,,,,
91,Honduras,America,http://www.wikidata.org/entity/Q783,,,,
92,El Salvador,America,http://www.wikidata.org/entity/Q792,,,,
93,Nicaragua,America,http://www.wikidata.org/entity/Q811,,,,
94,Costa Rica,America,http://www.wikidata.org/entity/Q800,,,,
95,Panama,America,http://www.wikidata.org/entity/Q804,,,,
96,Panama Canal Zone,America,http://www.wikidata.org/entity/Q498979,,,,
100,Colombia (Gran Colombia) (New Granada),America,http://www.wikidata.org/entity/Q739,,,,
101,Venezuela,America,http://www.wikidata.org/entity/Q717,,,,
110,Guyana (British Guiana),America,http://www.wikidata.org/entity/Q734,,,,
115,Surinam (Dutch Guiana),America,http://www.wikidata.org/entity/Q730,,,,
120,French Guiana,America,http://www.wikidata.org/entity/Q3769,,,,
130,Ecuador,America,http://www.wikidata.org/entity/Q736,,,,
135,Peru,America,http://www.wikidata.org/entity/Q419,,,,
136,Bolivia-Peru Confederation,America,http://www.wikidata.org/entity/Q899706,,,,
140,Brazil,America,http://www.wikidata.org/entity/Q155,,,,
145,Bolivia,America,http://www.wikidata.org/entity/Q750,,,,
150,Paraguay,America,http://www.wikidata.org/entity/Q733,,,,
155,Chile,America,http://www.wikidata.org/entity/Q298,,,,
160,Argentina (Río de la Plata),America,http://www.wikidata.org/entity/Q414,https://www.wikidata.org/wiki/Q738144,,,
165,Uruguay,America,http://www.wikidata.org/entity/Q77,,,,
200,United Kingdom,Europe,http://www.wikidata.org/entity/Q145,,,,
205,Ireland,Europe,http://www.wikidata.org/entity/Q27,,,,
210,Netherlands,Europe,http://www.wikidata.org/entity/Q55,,,,
211,Belgium,Europe,http://www.wikidata.org/entity/Q31,,,,
212,Luxemburg,Europe,http://www.wikidata.org/entity/Q32,,,,
220,France,Europe,http://www.wikidata.org/entity/Q142,,http://www.wikidata.org/entity/Q899706,,
221,Monaco,Europe,http://www.wikidata.org/entity/Q235,,,,
223,Liechtenstein,Europe,http://www.wikidata.org/entity/Q347,,,,
225,Switzerland,Europe,http://www.wikidata.org/entity/Q39,,,,
230,Spain,Europe,http://www.wikidata.org/entity/Q29,,,,
231,Gibraltar,Europe,http://www.wikidata.org/entity/Q1410,,,,
232,Andorra,Europe,http://www.wikidata.org/entity/Q228,,,,
235,Portugal,Europe,http://www.wikidata.org/entity/Q45,,,,
239,Prussia,Europe,http://www.wikidata.org/entity/Q27306,http://www.wikidata.org/entity/Q38872,,,
240,Hanover,Europe,http://www.wikidata.org/entity/Q1715,,,,
241,Anhalt Dessau,Europe,http://www.wikidata.org/entity/Q278874,,,,
