Occupied by 1886-1949,Sovereign 1950-2019,3
Occupied by 1886-1949,Became possession of 1950-2019,1
Occupied by 1950-2019,Became part of 2020-2020,13
Occupied by 1950-2019,Sovereign 2020-2020,3
Occupied by 1950-2019,Became neutral or demilitarized zone of 2020-2020,1
Occupied by 1950-2019,Occupied by 2020-2020,2
Occupied by 1950-2019,Became possession of 2020-2020,1
Mandated to 1950-2019,Became part of 2020-2020,3
Mandated to 1950-2019,Sovereign 2020-2020,8
Became vassal of 1816-1885,Sovereign 1886-1949,1
Became vassal of 1816-1885,Became protectorate of 1886-1949,4
Became vassal of 1816-1885,Occupied by 1886-1949,2
Became vassal of 1816-1885,Unknown 1886-1949,1
Became vassal of 1816-1885,Became vassal of 1886-1949,59
Became vassal of 1816-1885,Became part of 1886-1949,6
Became vassal of 1816-1885,Sovereign (unrecognized) 1886-1949,1
Became vassal of 1816-1885,Became colony of 1886-1949,1
Became protectorate of 1886-1949,Became part of 1950-2019,18
Became protectorate of 1886-1949,Became colony of 1950-2019,5
Became protectorate of 1886-1949,Became protectorate of 1950-2019,11
Became protectorate of 1886-1949,Became dependency of 1950-2019,1
Became protectorate of 1886-1949,Sovereign 1950-2019,2
Became protectorate of 1886-1949,Occupied by 1950-2019,1
Mandated to 1886-1949,Mandated to 1950-2019,4
Became discovered 1816-1885,Became discovered 1886-1949,51
Became discovered 1816-1885,Became protectorate of 1886-1949,3
Became discovered 1816-1885,Became colony of 1886-1949,13
Became discovered 1816-1885,Sovereign (unrecognized) 1886-1949,2
Became discovered 1816-1885,Became part of 1886-1949,21
Became discovered 1816-1885,Claimed by 1886-1949,16
Became discovered 1816-1885,Became possession of 1886-1949,6
Became discovered 1816-1885,Occupied by 1886-1949,1
Became discovered 1886-1949,Became colony of 1950-2019,6
Became discovered 1886-1949,Mandated to 1950-2019,1
Became discovered 1886-1949,Became protectorate of 1950-2019,2
Became discovered 1886-1949,Became part of 1950-2019,15
Became discovered 1886-1949,Became possession of 1950-2019,12
Became discovered 1886-1949,Claimed by 1950-2019,1
Became discovered 1886-1949,Became discovered 1950-2019,1
Became discovered 1886-1949,Became dependency of 1950-2019,6
Became discovered 1886-1949,Occupied by 1950-2019,5
Unknown 1816-1885,Became part of 1886-1949,37
Unknown 1816-1885,Unknown 1886-1949,47
Unknown 1816-1885,Occupied by 1886-1949,1
Unknown 1816-1885,Became possession of 1886-1949,2
Unknown 1816-1885,Sovereign (unrecognized) 1886-1949,2
Unknown 1816-1885,Became vassal of 1886-1949,2
Unknown 1816-1885,Became protectorate of 1886-1949,2
Leased to 1886-1949,Became colony of 1950-2019,1
Leased to 1886-1949,Became part of 1950-2019,7
Leased to 1886-1949,Leased to 1950-2019,1
Leased to 1886-1949,Became protectorate of 1950-2019,1
Informal 1886-1949,Sovereign 1950-2019,1
Claimed by 1816-1885,Became part of 1886-1949,2
Claimed by 1816-1885,Claimed by 1886-1949,6
Claimed by 1816-1885,Became possession of 1886-1949,2
Became possession of 1886-1949,Became part of 1950-2019,9
Became possession of 1886-1949,Became possession of 1950-2019,22
Became possession of 1816-1885,Became part of 1886-1949,14
Became possession of 1816-1885,Became possession of 1886-1949,13
Became possession of 1816-1885,Claimed by 1886-1949,1
Became possession of 1816-1885,Became colony of 1886-1949,1
Claimed by 1886-1949,Became dependency of 1950-2019,6
Claimed by 1886-1949,Claimed by 1950-2019,15
Claimed by 1886-1949,Became part of 1950-2019,5
Claimed by 1886-1949,Became possession of 1950-2019,1
Claimed by 1886-1949,Became neutral or demilitarized zone of 1950-2019,2
Became possession of 1950-2019,Became possession of 2020-2020,23
Became possession of 1950-2019,Became part of 2020-2020,9
Became possession of 1950-2019,Became dependency of 2020-2020,4
Claimed by 1950-2019,Became part of 2020-2020,14
Claimed by 1950-2019,Claimed by 2020-2020,3
Claimed by 1950-2019,Occupied by 2020-2020,1
Claimed by 1950-2019,Became dependency of 2020-2020,1
Became discovered 1950-2019,Became part of 2020-2020,1
Became neutral or demilitarized zone of 1816-1885,Became neutral or demilitarized zone of 1886-1949,3
Became neutral or demilitarized zone of 1886-1949,Became part of 1950-2019,2
Became neutral or demilitarized zone of 1886-1949,Became neutral or demilitarized zone of 1950-2019,2
Became neutral or demilitarized zone of 1950-2019,Became neutral or demilitarized zone of 2020-2020,3
Became neutral or demilitarized zone of 1950-2019,Became part of 2020-2020,4
Unknown 1886-1949,Became part of 1950-2019,47
Unknown 1886-1949,Became vassal of 1950-2019,1
Became vassal of 1886-1949,Became part of 1950-2019,75
Became vassal of 1886-1949,Occupied by 1950-2019,1
Became vassal of 1886-1949,Became vassal of 1950-2019,6
Became vassal of 1886-1949,Unknown 1950-2019,1
Leased to 1816-1885,Became part of 1886-1949,2
Became vassal of 1950-2019,Became part of 2020-2020,3
Unknown 1950-2019,Became part of 2020-2020,1
Became dependency of 1816-1885,Became dependency of 1886-1949,1
Became dependency of 1886-1949,Became dependency of 1950-2019,3
International 1816-1885,International 1886-1949,1
International 1886-1949,International 1950-2019,1
International 1950-2019,International 2020-2020,1
