GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code
57,St. Vincent and the Grenadines,1969,1979,Associated state of,200
57,St. Vincent and the Grenadines,1979,2022,Sovereign,
58,Antigua and Barbuda (Antigua),1816,1833,Colony of,200
58,Antigua and Barbuda (Antigua),1833,1956,Part of,1063
58,Antigua and Barbuda (Antigua),1956,1958,Colony of,200
58,Antigua and Barbuda (Antigua),1958,1962,Part of,50
58,Antigua and Barbuda (Antigua),1962,1967,Colony of,200
58,Antigua and Barbuda (Antigua),1967,1981,Associated state of,200
58,Antigua and Barbuda (Antigua),1981,2022,Sovereign,
59,Montserrat,1816,1833,Colony of,200
59,Montserrat,1833,1956,Part of,1063
59,Montserrat,1956,1958,Colony of,200
59,Montserrat,1958,1962,Part of,50
59,Montserrat,1962,2022,Colony of,200
60,St. Kitts-Nevis,1882,1956,Part of,1063
60,St. Kitts-Nevis,1956,1958,Colony of,200
60,St. Kitts-Nevis,1958,1962,Part of,50
60,St. Kitts-Nevis,1962,1967,Colony of,200
60,St. Kitts-Nevis,1967,1983,Associated state of,200
60,St. Kitts-Nevis,1983,2022,Sovereign,
65,Guadeloupe,1816,1816,Occupied by,200
65,Guadeloupe,1816,1947,Colony of,220
65,Guadeloupe,1947,2022,Part of,220
66,Martinique,1816,1947,Colony of,220
66,Martinique,1947,2022,Part of,220
68,Netherlands Antilles,1828,1954,Colony of,210
68,Netherlands Antilles,1954,2010,Dependency of,210
68,Netherlands Antilles,2010,2010,Dissolved into,1065
68,Netherlands Antilles,2010,2010,Dissolved into,1066
68,Netherlands Antilles,2010,2010,Dissolved into,1067
68,Netherlands Antilles,2010,2010,Dissolved into,1068
68,Netherlands Antilles,2010,2010,Dissolved into,1069
68,Netherlands Antilles,2010,2010,Dissolved into,1073
70,Mexico,1816,1821,Part of,1070
70,Mexico,1821,2022,Sovereign,
70,Mexico,1847,1848,Occupied by,2
70,Mexico,1863,1867,Occupied by,220
80,Belize (British Honduras),1816,1862,Occupied by,200
80,Belize (British Honduras),1862,1981,Colony of,200
80,Belize (British Honduras),1981,2022,Sovereign,
89,United States of Central America,1816,1821,Part of,1070
89,United States of Central America,1816,1821,Colony of,230
89,United States of Central America,1822,1823,Part of,70
89,United States of Central America,1823,1841,Sovereign (unrecognized),
90,Guatemala,1816,1821,Part of,1070
90,Guatemala,1821,1823,Part of,70
90,Guatemala,1823,1839,Part of,89
90,Guatemala,1839,2022,Sovereign,
91,Honduras,1816,1821,Part of,1070
91,Honduras,1821,1823,Part of,70
91,Honduras,1823,1838,Part of,89
91,Honduras,1838,2022,Sovereign,
92,El Salvador,1816,1821,Part of,1070
92,El Salvador,1821,1823,Part of,70
92,El Salvador,1823,1841,Part of,89
92,El Salvador,1841,2022,Sovereign,
93,Nicaragua,1816,1821,Part of,1070
93,Nicaragua,1821,1823,Part of,70
93,Nicaragua,1823,1838,Part of,89
93,Nicaragua,1912,1925,Occupied by,2
93,Nicaragua,1927,1933,Occupied by,2
93,Nicaragua,1838,2022,Sovereign,
94,Costa Rica,1816,1821,Part of,1070
94,Costa Rica,1821,1823,Part of,70
94,Costa Rica,1823,1838,Part of,89
94,Costa Rica,1838,2022,Sovereign,
95,Panama,1816,1821,Colony of,230
95,Panama,1821,1903,Part of,100
95,Panama,1989,1990,Occupied by,2
95,Panama,1903,2022,Sovereign,
96,Panama Canal Zone,1816,1903,Part of,100
96,Panama Canal Zone,1903,1979,Leased to,2
96,Panama Canal Zone,1979,2022,Part of,95
100,Colombia (New Granada) (Gran Colombia),1816,1819,Colony of,230
100,Colombia (New Granada) (Gran Colombia),1819,1831,Sovereign (unrecognized),
100,Colombia (New Granada) (Gran Colombia),1831,2022,Sovereign,
101,Venezuela,1816,1819,Colony of,230
101,Venezuela,1819,1830,Part of,100
101,Venezuela,1830,2022,Sovereign,
110,Guyana (British Guiana),1831,1966,Colony of,200
110,Guyana (British Guiana),1966,2022,Sovereign,
115,Surinam (Dutch Guiana),1816,1828,Colony of,210
115,Surinam (Dutch Guiana),1828,1845,Part of,68
115,Surinam (Dutch Guiana),1845,1954,Colony of,210
115,Surinam (Dutch Guiana),1954,1975,Dependency of,210
115,Surinam (Dutch Guiana),1975,2022,Sovereign,
120,French Guiana,1816,1817,Occupied by,235
120,French Guiana,1817,1947,Colony of,220
120,French Guiana,1947,2022,Part of,220
130,Ecuador,1816,1819,Colony of,230
130,Ecuador,1819,1830,Part of,100
130,Ecuador,1830,2022,Sovereign,
135,Peru,1816,1821,Part of,1135
135,Peru,1821,1836,Sovereign (unrecognized),
135,Peru,1836,1839,Part of,136
135,Peru,1880,1883,Occupied by,155
135,Peru,1839,2022,Sovereign,
136,Bolivia-Peru Confederation,1836,1839,Sovereign (unrecognized),
140,Brazil,1816,1822,Colony of,235
140,Brazil,1822,2022,Sovereign,
145,Bolivia,1816,1825,Part of,1160
145,Bolivia,1816,1825,Colony of,230
145,Bolivia,1825,1836,Sovereign (unrecognized),
145,Bolivia,1836,1839,Part of,136
145,Bolivia,1839,2022,Sovereign,
150,Paraguay,1816,2022,Sovereign,
150,Paraguay,1870,1876,Occupied by,140
155,Chile,1816,1817,Part of,1135
155,Chile,1818,2022,Sovereign,
160,Argentina (La Plata),1816,1816,Part of,1160
160,Argentina (La Plata),1816,2022,Sovereign,
165,Uruguay,1816,1821,Part of,1160
165,Uruguay,1821,1828,Part of,140
165,Uruguay,1828,2022,Sovereign,
200,United Kingdom,1816,2022,Sovereign,
205,Ireland,1816,1922,Part of,200
205,Ireland,1922,2022,Sovereign,
210,Netherlands,1816,1940,Sovereign,
210,Netherlands,1940,1945,Occupied by,255
210,Netherlands,1945,2022,Sovereign,
211,Belgium,1816,1830,Part of,210
211,Belgium,1830,1940,Sovereign,
211,Belgium,1914,1918,Occupied by,255
211,Belgium,1940,1945,Occupied by,255
211,Belgium,1945,2022,Sovereign,
212,Luxemburg,1816,1890,Sovereign (limited),
212,Luxemburg,1890,1914,Sovereign (unrecognized),
212,Luxemburg,1914,1918,Occupied by,255
212,Luxemburg,1918,1940,Sovereign,
212,Luxemburg,1940,1944,Occupied by,255
212,Luxemburg,1944,2022,Sovereign,
220,France,1816,1942,Sovereign,
220,France,1816,1818,Occupied by,200
220,France,1871,1873,Occupied by,255
220,France,1914,1918,Occupied by,255
220,France,1942,1944,Occupied by,255
220,France,1944,2022,Sovereign,
221,Monaco,1816,1861,Protectorate of,324
221,Monaco,1861,1940,Sovereign (unrecognized),
221,Monaco,1940,1943,Occupied by,325
221,Monaco,1943,1944,Occupied by,255
221,Monaco,1944,1993,Sovereign (unrecognized),
221,Monaco,1993,2022,Sovereign,
223,Liechtenstein,1816,1867,Sovereign (limited),
223,Liechtenstein,1867,1990,Sovereign (unrecognized),
223,Liechtenstein,1990,2022,Sovereign,
225,Switzerland,1816,2022,Sovereign,
230,Spain,1816,2022,Sovereign,
231,Gibraltar,1816,2022,Colony of,200
232,Andorra,1816,1993,Sovereign (unrecognized),
232,Andorra,1993,2022,Sovereign,
235,Portugal,1816,2022,Sovereign,
239,Prussia,1816,1871,Sovereign,
239,Prussia,1871,1947,Part of,255
239,Prussia,1945,1945,Part of,290
239,Prussia,1947,1947,Dissolved into,260
239,Prussia,1947,1947,Dissolved into,265
240,Hanover,1816,1837,Sovereign (unrecognized),
240,Hanover,1837,1866,Sovereign,
240,Hanover,1866,1946,Part of,239
241,Anhalt Dessau,1816,1863,Sovereign (limited),
241,Anhalt Dessau,1863,1863,Dissolved into,249
242,Anhalt Köthen,1816,1853,Sovereign (limited),
242,Anhalt Köthen,1853,1853,Dissolved into,241
243,Anhalt Bernburg,1816,1863,Sovereign (limited),
243,Anhalt Bernburg,1863,1863,Dissolved into,249
244,Brunswick,1816,1871,Sovereign (limited),
244,Brunswick,1871,1945,Part of,255
245,Bavaria,1816,1871,Sovereign,
245,Bavaria,1871,1945,Part of,255
245,Bavaria,1945,1949,Occupied by,2
245,Bavaria,1949,1990,Part of,260
245,Bavaria,1990,2022,Part of,255
246,Bremen,1816,1867,Sovereign (unrecognized),
246,Bremen,1867,1945,Part of,255
246,Bremen,1947,1949,Occupied by,2
246,Bremen,1949,1990,Part of,260
246,Bremen,1990,2022,Part of,255
247,Frankfurt,1816,1867,Sovereign (unrecognized),
247,Frankfurt,1867,1945,Part of,239
247,Frankfurt,1945,1949,Part of,2602
247,Frankfurt,1949,1949,Dissolved into,260
248,Hamburg,1816,1867,Sovereign (unrecognized),
248,Hamburg,1867,1945,Part of,255
248,Hamburg,1945,1949,Occupied by,200
248,Hamburg,1949,1990,Part of,260
248,Hamburg,1990,2022,Part of,255
249,Saxony Anhalt (Anhalt),1863,1867,Sovereign (limited),
249,Saxony Anhalt (Anhalt),1867,1945,Part of,255
249,Saxony Anhalt (Anhalt),1945,1947,Occupied by,365
249,Saxony Anhalt (Anhalt),1947,1952,Part of,265
249,Saxony Anhalt (Anhalt),1952,1952,Dissolved into,265
249,Saxony Anhalt (Anhalt),1990,2022,Part of,255
250,Hohenzollern Hechingen,1816,1849,Sovereign (limited),
250,Hohenzollern Hechingen,1849,1946,Part of,239
251,Hohenzollern Sigmaringen,1816,1849,Sovereign (limited),
251,Hohenzollern Sigmaringen,1849,1946,Part of,239
252,Lippe,1816,1867,Sovereign (limited),
252,Lippe,1867,1947,Part of,255
252,Lippe,1947,2022,Part of,2604
253,Mecklenburg Strelitz,1816,1867,Sovereign (limited),
253,Mecklenburg Strelitz,1867,1934,Part of,255
253,Mecklenburg Strelitz,1934,1934,Dissolved into,281
254,Nassau,1816,1867,Sovereign (limited),
254,Nassau,1867,1944,Part of,239
255,Germany (Zollverein),1816,1867,Informal,
255,Germany (Zollverein),1867,1871,Sovereign (limited),
255,Germany (Zollverein),1871,1945,Sovereign,
255,Germany (Zollverein),1945,1945,Dissolved into,260
255,Germany (Zollverein),1945,1945,Dissolved into,265
255,Germany (Zollverein),1990,2022,Sovereign,
256,Saar,1816,1871,Part of,245
256,Saar,1871,1920,Part of,255
256,Saar,1920,1935,Mandated to,0
256,Saar,1935,1945,Part of,255
256,Saar,1945,1947,Occupied by,220
256,Saar,1947,1957,Protectorate of,220
256,Saar,1957,1990,Part of,260
256,Saar,1990,2022,Part of,255
257,Oldenburg,1816,1867,Sovereign (limited),
257,Oldenburg,1867,1945,Part of,255
258,"Reuss, Older Line",1816,1867,Sovereign (limited),
258,"Reuss, Older Line",1867,1945,Part of,255
259,"Reuss, Younger Line",1816,1867,Sovereign (limited),
259,"Reuss, Younger Line",1867,1945,Part of,255
260,German Federal Republic,1945,1949,Occupied by,2
260,German Federal Republic,1949,1955,Sovereign (unrecognized),
260,German Federal Republic,1955,1990,Sovereign,
260,German Federal Republic,1990,1990,Dissolved into,255
261,Saxe Weimar Eisenach,1816,1867,Sovereign (limited),
261,Saxe Weimar Eisenach,1867,1920,Part of,255
261,Saxe Weimar Eisenach,1920,1920,Dissolved into,2558
262,Saxe Altenburg,1826,1867,Sovereign (limited),263
262,Saxe Altenburg,1867,1920,Part of,255
262,Saxe Altenburg,1920,2022,Part of,2558
263,Saxe Gotha Altenburg,1816,1826,Sovereign (limited),
263,Saxe Gotha Altenburg,1826,1826,Dissolved into,264
263,Saxe Gotha Altenburg,1826,1826,Dissolved into,262
264,Saxe Coburg and Gotha,1816,1867,Sovereign (limited),
264,Saxe Coburg and Gotha,1867,1920,Part of,255
264,Saxe Coburg and Gotha,1920,1920,Dissolved into,2558
264,Saxe Coburg and Gotha,1920,1920,Dissolved into,245
265,German Democratic Republic,1945,1949,Occupied by,365
265,German Democratic Republic,1949,1954,Sovereign (unrecognized),
265,German Democratic Republic,1954,1990,Sovereign,
265,German Democratic Republic,1990,1990,Dissolved into,255
266,Saxe Meiningen,1816,1867,Sovereign (limited),
266,Saxe Meiningen,1867,1920,Part of,255
266,Saxe Meiningen,1920,1920,Dissolved into,2558
267,Baden,1816,1871,Sovereign,
267,Baden,1871,1945,Part of,255
267,Baden,1945,1952,Occupied by,2
267,Baden,1945,1952,Occupied by,220
267,Baden,1952,2022,Part of,2606
268,Schwarzburg Sondershausen,1816,1867,Sovereign (limited),
268,Schwarzburg Sondershausen,1867,1920,Part of,255
268,Schwarzburg Sondershausen,1920,1920,Dissolved into,2558
269,Saxony,1816,1867,Sovereign,
269,Saxony,1867,1945,Part of,255
269,Saxony,1945,1949,Occupied by,365
269,Saxony,1949,1952,Part of,265
269,Saxony,1952,1952,Dissolved into,265
269,Saxony,1990,2022,Part of,255
270,Schwarzburg Rudolstadt,1816,1867,Sovereign (limited),
270,Schwarzburg Rudolstadt,1867,1920,Part of,255
270,Schwarzburg Rudolstadt,1920,1920,Dissolved into,2558
271,Wuerttemberg,1816,1871,Sovereign,
271,Wuerttemberg,1871,1945,Part of,255
271,Wuerttemberg,1945,1952,Occupied by,2
271,Wuerttemberg,1945,1952,Occupied by,220
271,Wuerttemberg,1952,2022,Part of,2606
272,Waldeck and Pyrmont,1816,1867,Sovereign (limited),
272,Waldeck and Pyrmont,1867,1929,Part of,255
272,Waldeck and Pyrmont,1921,1946,Part of,240
272,Waldeck and Pyrmont,1929,1944,Part of,239
273,Hesse Electoral,1816,1866,Sovereign,
273,Hesse Electoral,1866,1945,Part of,239
274,Schaumburg Lippe,1816,1867,Sovereign (limited),
274,Schaumburg Lippe,1867,1946,Part of,255
274,Schaumburg Lippe,1946,1946,Dissolved into,2603
275,People’s State of Hesse (Hesse Grand Ducal),1816,1867,Sovereign,
275,People’s State of Hesse (Hesse Grand Ducal),1867,1945,Part of,239
275,People’s State of Hesse (Hesse Grand Ducal),1945,1945,Dissolved into,2602
275,People’s State of Hesse (Hesse Grand Ducal),1946,1946,Dissolved into,2605
276,Lübeck,1816,1867,Sovereign (limited),
276,Lübeck,1867,1937,Part of,255
276,Lübeck,1937,1937,Dissolved into,2555
277,Hesse Homburg,1817,1866,Sovereign (limited),
277,Hesse Homburg,1866,1945,Part of,275
277,Hesse Homburg,1866,1945,Part of,239
280,Mecklenburg Schwerin,1816,1843,Sovereign (limited),
280,Mecklenburg Schwerin,1843,1867,Sovereign,
280,Mecklenburg Schwerin,1867,1934,Part of,255
280,Mecklenburg Schwerin,1934,1934,Dissolved into,281
281,Mecklenburg,1934,1945,Part of,255
281,Mecklenburg,1945,1945,Dissolved into,282
282,Mecklenburg Vorpommern,1945,1947,Occupied by,365
282,Mecklenburg Vorpommern,1947,1952,Part of,265
282,Mecklenburg Vorpommern,1952,1952,Dissolved into,265
282,Mecklenburg Vorpommern,1990,2022,Part of,255
290,Poland,1816,1816,Dissolved into,2901
290,Poland,1816,1816,Dissolved into,2902
290,Poland,1816,1816,Dissolved into,2903
290,Poland,1918,1939,Sovereign,
290,Poland,1939,1945,Occupied by,255
290,Poland,1939,1941,Occupied by,365
290,Poland,1944,1949,Occupied by,365
290,Poland,1945,2022,Sovereign,
291,Danzig (Free City of Danzig),1816,1920,Part of,239
291,Danzig (Free City of Danzig),1920,1939,Mandated to,0
291,Danzig (Free City of Danzig),1939,1945,Part of,255
291,Danzig (Free City of Danzig),1945,2022,Part of,290
300,Austria-Hungary (Austrian Empire),1816,1867,Sovereign,
300,Austria-Hungary (Austrian Empire),1867,1918,Sovereign,
300,Austria-Hungary (Austrian Empire),1918,1918,Dissolved into,290
300,Austria-Hungary (Austrian Empire),1918,1918,Dissolved into,305
300,Austria-Hungary (Austrian Empire),1918,1918,Dissolved into,310
300,Austria-Hungary (Austrian Empire),1918,1918,Dissolved into,315
300,Austria-Hungary (Austrian Empire),1918,1918,Dissolved into,345
305,Austria,1816,1918,Part of,300
305,Austria,1918,1919,Sovereign (unrecognized),
305,Austria,1919,1938,Sovereign,
305,Austria,1938,1945,Part of,255
305,Austria,1945,1955,Occupied by,365
305,Austria,1955,2022,Sovereign,
310,Hungary,1816,1918,Part of,300
310,Hungary,1918,2022,Sovereign,
310,Hungary,1944,1945,Occupied by,255
310,Hungary,1945,1949,Occupied by,365
310,Hungary,1956,1957,Occupied by,365
315,Czechoslovakia,1918,1939,Sovereign,
315,Czechoslovakia,1939,1945,Occupied by,255
315,Czechoslovakia,1945,1945,Occupied by,365
315,Czechoslovakia,1945,1992,Sovereign,
315,Czechoslovakia,1968,1969,Occupied by,365
315,Czechoslovakia,1993,1993,Dissolved into,316
315,Czechoslovakia,1993,1993,Dissolved into,317
316,Czech Republic,1816,1918,Part of,300
316,Czech Republic,1918,1993,Part of,315
316,Czech Republic,1993,2022,Sovereign,
317,Slovakia,1816,1918,Part of,300
317,Slovakia,1918,1993,Part of,315
317,Slovakia,1993,2022,Sovereign,
324,Kingdom of Sardinia,1816,1861,Sovereign,
324,Kingdom of Sardinia,1861,1861,Dissolved into,325
325,Italy,1816,1861,Informal,
325,Italy,1861,2022,Sovereign,
325,Italy,1943,1946,Occupied by,2
325,Italy,1943,1945,Occupied by,255
326,Trieste,1816,1918,Part of,300
326,Trieste,1918,1943,Part of,325
326,Trieste,1943,1947,Occupied by,2
326,Trieste,1947,1954,Mandated to,1
326,Trieste,1954,2022,Part of,325
327,Papal States,1816,1861,Sovereign,
327,Papal States,1861,1870,Part of,325
327,Papal States,1870,1870,Dissolved into,328
328,Vatican City,1816,1870,Part of,327
328,Vatican City,1870,1929,Part of,325
328,Vatican City,1929,1964,Sovereign (unrecognized),
328,Vatican City,1964,2022,Sovereign,
329,Two Sicilies,1816,1860,Sovereign,
329,Two Sicilies,1860,1861,Part of,324
329,Two Sicilies,1861,1861,Dissolved into,325
331,San Marino,1816,1992,Sovereign (unrecognized),
331,San Marino,1992,2022,Sovereign,
332,Modena,1816,1842,Part of,300
332,Modena,1842,1859,Sovereign,
332,Modena,1859,1861,Part of,324
332,Modena,1861,1861,Dissolved into,325
335,Parma,1816,1851,Sovereign (unrecognized),
335,Parma,1851,1859,Sovereign,
335,Parma,1859,1861,Part of,324
335,Parma,1861,1861,Dissolved into,325
336,Lucca,1816,1847,Part of,335
336,Lucca,1847,1847,Part of,337
337,Tuscany,1816,1859,Sovereign,
337,Tuscany,1859,1861,Part of,324
337,Tuscany,1861,1861,Dissolved into,325
338,Malta,1816,1964,Colony of,200
338,Malta,1964,2022,Sovereign,
339,Albania,1816,1912,Part of,640
339,Albania,1912,1939,Sovereign,
339,Albania,1914,1919,Occupied by,325
339,Albania,1914,1918,Occupied by,300
339,Albania,1939,1943,Occupied by,325
339,Albania,1939,1944,Occupied by,255
339,Albania,1944,2022,Sovereign,
341,Montenegro,1816,1878,Vassal of,640
341,Montenegro,1878,1916,Sovereign,
341,Montenegro,1915,1918,Occupied by,300
341,Montenegro,1918,1992,Part of,345
341,Montenegro,1992,2006,Part of,348
341,Montenegro,2006,2022,Sovereign,
342,Kingdom of Serbia,1816,1878,Vassal of,640
342,Kingdom of Serbia,1878,1918,Sovereign,
342,Kingdom of Serbia,1918,1918,Dissolved into,345
343,North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),1816,1914,Part of,640
343,North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),1914,1918,Part of,355
343,North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),1918,1991,Part of,345
343,North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),1991,1993,Sovereign (unrecognized),
343,North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),1993,2022,Sovereign,
344,Croatia,1816,1849,Part of,310
344,Croatia,1849,1867,Part of,300
344,Croatia,1867,1918,Part of,300
344,Croatia,1918,1941,Part of,345
344,Croatia,1941,1945,Part of,3440
344,Croatia,1941,1945,Part of,325
344,Croatia,1941,1945,Part of,310
344,Croatia,1945,1991,Part of,345
344,Croatia,1991,2022,Sovereign,
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1918,1941,Sovereign,
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1941,1944,Occupied by,305
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1941,1944,Occupied by,255
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1941,1944,Occupied by,325
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1941,1944,Occupied by,310
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1945,1992,Sovereign,
345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",1992,1992,Dissolved into,348
346,Bosnia-Herzegovina,1816,1878,Part of,640
346,Bosnia-Herzegovina,1878,1908,Occupied by,300
346,Bosnia-Herzegovina,1908,1918,Part of,300
346,Bosnia-Herzegovina,1918,1941,Part of,345
346,Bosnia-Herzegovina,1941,1945,Part of,3440
346,Bosnia-Herzegovina,1945,1992,Part of,345
346,Bosnia-Herzegovina,1992,2022,Sovereign,
347,Kosovo,1816,1912,Part of,640
347,Kosovo,1912,1992,Part of,345
347,Kosovo,1992,1999,Part of,348
347,Kosovo,1999,2008,Mandated to,1
347,Kosovo,2008,2022,Sovereign (unrecognized),
348,Serbia (Serbia and Montenegro) (Federal Republic of Yugoslavia),1992,2022,Sovereign,
349,Slovenia,1816,1918,Part of,300
349,Slovenia,1918,1991,Part of,345
349,Slovenia,1991,2022,Sovereign,
350,Greece,1816,1830,Part of,640
350,Greece,1830,1941,Sovereign,
350,Greece,1941,1943,Occupied by,325
350,Greece,1941,1944,Occupied by,255
350,Greece,1944,2022,Sovereign,
351,Crete,1816,1830,Part of,640
351,Crete,1830,1840,Part of,651
351,Crete,1840,1898,Part of,640
351,Crete,1897,1898,Occupied by,200
351,Crete,1897,1898,Occupied by,220
351,Crete,1897,1898,Occupied by,325
351,Crete,1897,1898,Occupied by,365
351,Crete,1898,1913,Sovereign (unrecognized),
351,Crete,1913,2022,Part of,350
352,Cyprus,1816,1878,Part of,640
352,Cyprus,1878,1914,Vassal of,640
352,Cyprus,1878,1914,Protectorate of,200
352,Cyprus,1914,1960,Colony of,200
352,Cyprus,1960,2022,Sovereign,
355,Bulgaria,1816,1878,Part of,640
355,Bulgaria,1878,1908,Vassal of,640
355,Bulgaria,1918,1919,Occupied by,200
355,Bulgaria,1944,1947,Occupied by,365
355,Bulgaria,1908,2022,Sovereign,
359,Moldova (Bessarabia) (Moldavian Republic),1816,1917,Part of,365
359,Moldova (Bessarabia) (Moldavian Republic),1859,1859,Dissolved into,3361
359,Moldova (Bessarabia) (Moldavian Republic),1918,1940,Part of,360
359,Moldova (Bessarabia) (Moldavian Republic),1940,1991,Part of,365
359,Moldova (Bessarabia) (Moldavian Republic),1991,2022,Sovereign,
360,Romania,1859,1878,Vassal of,640
360,Romania,1878,2022,Sovereign,
360,Romania,1916,1918,Occupied by,255
360,Romania,1944,1949,Occupied by,365
365,Russia (USSR),1816,2022,Sovereign,
365,Russia (USSR),1915,1918,Occupied by,255
365,Russia (USSR),1941,1943,Occupied by,255
366,Estonia,1816,1918,Part of,365
366,Estonia,1918,1940,Sovereign,
366,Estonia,1940,1941,Occupied by,365
366,Estonia,1944,1991,Occupied by,365
366,Estonia,1941,1944,Occupied by,255
366,Estonia,1991,2022,Sovereign,
367,Latvia,1816,1918,Part of,365
367,Latvia,1918,1940,Sovereign,
367,Latvia,1940,1941,Occupied by,365
367,Latvia,1944,1991,Occupied by,365
367,Latvia,1941,1944,Occupied by,255
367,Latvia,1991,2022,Sovereign,
368,Lithuania,1816,1918,Part of,365
368,Lithuania,1918,1940,Sovereign,
368,Lithuania,1940,1941,Occupied by,365
368,Lithuania,1944,1991,Occupied by,365
368,Lithuania,1941,1944,Occupied by,255
368,Lithuania,1991,2022,Sovereign,
369,Ukraine,1816,1918,Part of,365
