period,transition,nb
1816-1885,Part of>Non sovereign,95
1816-1885,Part of>Sovereign (all),37
1816-1885,Sovereign (all)>Part of,75
1816-1885,Non sovereign>Sovereign (all),20
1816-1885,Sovereign (all)>Non sovereign,57
1816-1885,Non sovereign>Part of,144
1816-1885,Sovereign (all)>,15
1816-1885,>Sovereign (all),2
1816-1885,Part of>,12
1816-1885,>Part of,2
1816-1885,Miscellaneous>Non sovereign,65
1816-1885,Miscellaneous>Sovereign (all),6
1816-1885,Miscellaneous>Part of,39
1816-1885,Non sovereign>,12
1816-1885,Part of>Miscellaneous,8
1816-1885,Sovereign (all)>Miscellaneous,2
1816-1885,Non sovereign>Miscellaneous,1
1816-1885,Miscellaneous>,1
1886-1949,Sovereign (all)>Non sovereign,68
1886-1949,Non sovereign>Sovereign (all),52
1886-1949,Non sovereign>Part of,321
1886-1949,Part of>Sovereign (all),24
1886-1949,Part of>Non sovereign,190
1886-1949,Part of>,32
1886-1949,Sovereign (all)>,11
1886-1949,>Sovereign (all),1
1886-1949,Sovereign (all)>Part of,76
1886-1949,Non sovereign>,34
1886-1949,Miscellaneous>Non sovereign,34
1886-1949,>Non sovereign,6
1886-1949,Miscellaneous>Part of,50
1886-1949,>Part of,5
1886-1949,Part of>Miscellaneous,1
1886-1949,Non sovereign>Miscellaneous,2
1950-2019,Non sovereign>Part of,114
1950-2019,Part of>Non sovereign,93
1950-2019,Non sovereign>Sovereign (all),77
1950-2019,Part of>Sovereign (all),58
1950-2019,Non sovereign>,25
1950-2019,Part of>,40
1950-2019,>Part of,6
1950-2019,>Sovereign (all),2
1950-2019,Sovereign (all)>,12
1950-2019,Sovereign (all)>Part of,14
1950-2019,>Non sovereign,1
1950-2019,Miscellaneous>Non sovereign,1
1950-2019,Part of>Miscellaneous,2
1950-2019,Miscellaneous>Part of,3
1950-2019,Sovereign (all)>Non sovereign,1
