GPH_status,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Informal,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Part of,413,411,406,407,409,406,412,414,415,417,418,423,423,430,425,425,424,425,439,442,441,444,439,433,431,430,433,432,438,438,441,441,442,447,454,453,451,453,451,455,453,452,451,448,450,446,447,451,450,452,451,461,491,493,495,496,508,511,511,518,518,521,515,521,524,527,527,530,526,533,543,545,554,565,566,573,579,582,581,589,617,617,613,619,628,630,641,637,641,648,656,661,661,664,664,668,663,664,665,663,659,663,637,633,628,642,647,654,662,661,666,666,668,667,666,668,670,672,672,676,676,679,680,678,676,670,659,658,664,650,646,655,687,734,750,755,751,754,752,752,746,750,740,738,731,731,718,722,722,721,725,699,699,702,707,706,708,710,707,704,704,705,705,702,710,709,711,712,712,712,711,711,710,710,715,689,683,680,680,683,683,681,679,680,681,679,677,676,676,676,675,673,673,673,668,667,668,671,668,671,671,671,671,671,671
Discovered,91,91,92,91,92,93,94,95,95,96,96,95,95,94,93,93,92,92,92,92,91,91,91,88,87,88,87,84,83,82,81,81,80,79,78,77,77,77,77,77,68,63,63,62,61,61,60,59,59,59,59,59,58,57,57,56,56,56,56,56,57,56,53,51,51,51,49,48,48,42,42,41,34,32,32,31,29,24,24,21,21,18,17,16,14,13,12,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,6,6,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,79,79,76,73,73,72,70,70,68,68,68,68,68,68,69,69,68,67,67,66,66,65,65,65,65,65,65,64,63,63,62,62,62,62,63,63,63,62,62,62,63,62,61,61,60,59,60,61,63,62,62,62,60,58,58,57,57,57,56,54,54,53,52,48,48,46,45,45,45,40,37,36,34,33,30,26,25,23,22,19,14,14,14,12,11,10,10,8,5,5,3,3,3,3,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claimed by,10,10,9,9,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,12,10,10,10,11,11,11,11,11,11,11,11,11,11,11,20,23,23,24,24,24,24,23,23,23,23,23,24,25,25,25,25,25,24,24,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,22,21,21,21,21,22,21,21,21,21,21,21,21,21,21,22,22,24,23,22,20,20,20,19,20,19,18,18,18,18,18,17,14,14,14,15,15,16,16,17,17,18,18,17,17,18,19,19,19,19,19,18,17,16,15,15,15,15,14,14,13,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,9,9,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,8,5,5,5,5,5,5,5,5
Neutral or demilitarized zone of,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,5,5,5,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,9,8,8,8,8,8,9,9,9,9,9,9,9,8,9,8,8,7,7,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Occupied by,9,8,7,8,8,8,9,8,7,6,6,6,6,6,7,7,9,9,10,10,10,10,11,15,14,11,10,7,6,6,6,8,8,7,5,5,5,5,6,5,6,6,7,7,8,11,11,10,11,11,14,14,13,13,13,16,17,18,19,16,16,13,15,15,15,16,17,18,18,16,14,15,14,14,17,19,20,21,24,21,14,16,15,16,17,16,14,14,15,13,13,11,11,8,9,8,11,12,13,21,26,31,41,44,44,30,23,17,8,8,7,7,7,7,7,5,6,6,5,5,6,8,10,13,17,35,52,69,64,53,46,44,35,33,26,20,19,17,19,17,18,15,15,15,15,18,18,15,15,15,15,20,20,15,15,15,14,14,15,14,14,13,13,13,12,12,13,12,12,12,12,12,11,11,11,8,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
Leased to,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,5,6,9,9,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,10,11,12,12,12,12,12,12,12,15,21,21,21,21,22,24,25,24,22,22,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,20,20,20,20,20,19,19,26,25,26,26,19,18,15,12,11,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mandated to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,17,20,24,24,24,24,24,24,24,24,23,23,23,23,22,20,20,20,19,19,19,18,18,18,13,13,13,13,12,13,13,13,13,12,11,11,11,11,9,6,4,4,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
