name,1816,1886,1950,2020
League of Nations,?,International,?,?
United Nations,?,International,International,International
United States of America,Sovereign,Sovereign,Sovereign,Sovereign
Alaska,Colony of,Colony of,Colony of,Part of
Hawaii (Sandwich Is.),Sovereign (limited),Sovereign (limited),Colony of,Part of
Virgin Islands (Danish West Indies),Colony of,Colony of,Colony of,Colony of
Puerto Rico,Part of,Colony of,Colony of,Dependency of
Texas,Part of,Part of,Part of,Part of
Greenland,Colony of,Colony of,Colony of,Dependency of
Faeroe Is.,Colony of,Colony of,Dependency of,Dependency of
Canada (Province of Canada),Colony of,Colony of,Sovereign,Sovereign
Newfoundland and Labrador (Newfoundland),Colony of,Colony of,Part of,Part of
Bermuda,Colony of,Colony of,Colony of,Colony of
Bahamas,Colony of,Colony of,Colony of,Sovereign
Cuba,Part of,Colony of,Sovereign,Sovereign
Haiti,Sovereign (unrecognized),Sovereign,Sovereign,Sovereign
Dominican Republic (Santo Domingo),Part of,Sovereign,Sovereign,Sovereign
West Indies Federation,?,?,Colony of,?
Jamaica,Colony of,Colony of,Colony of,Sovereign
Trinidad and Tobago,?,Colony of,Colony of,Sovereign
Barbados,Colony of,Colony of,Colony of,Sovereign
Dominica,Colony of,Part of,Part of,Sovereign
Grenada,Colony of,Part of,Part of,Sovereign
St. Lucia,Colony of,Part of,Part of,Sovereign
St. Vincent and the Grenadines,Colony of,Part of,Part of,Sovereign
Antigua and Barbuda (Antigua),Colony of,Part of,Part of,Sovereign
Montserrat,Colony of,Part of,Part of,Colony of
St. Kitts-Nevis,Part of,Part of,Part of,Sovereign
Guadeloupe,Colony of,Colony of,Part of,Part of
Martinique,Colony of,Colony of,Part of,Part of
Netherlands Antilles,Colony of,Colony of,Colony of,?
Mexico,Part of,Sovereign,Sovereign,Sovereign
Belize (British Honduras),Occupied by,Colony of,Colony of,Sovereign
United States of Central America,Colony of,?,?,?
Guatemala,Part of,Sovereign,Sovereign,Sovereign
Honduras,Part of,Sovereign,Sovereign,Sovereign
El Salvador,Part of,Sovereign,Sovereign,Sovereign
Nicaragua,Part of,Sovereign,Sovereign,Sovereign
Costa Rica,Part of,Sovereign,Sovereign,Sovereign
Panama,Colony of,Part of,Sovereign,Sovereign
Panama Canal Zone,Part of,Part of,Leased to,Part of
Colombia (New Granada) (Gran Colombia),Colony of,Sovereign,Sovereign,Sovereign
Venezuela,Colony of,Sovereign,Sovereign,Sovereign
Guyana (British Guiana),Colony of,Colony of,Colony of,Sovereign
Surinam (Dutch Guiana),Colony of,Colony of,Colony of,Sovereign
French Guiana,Occupied by,Colony of,Part of,Part of
Ecuador,Colony of,Sovereign,Sovereign,Sovereign
Peru,Part of,Sovereign,Sovereign,Sovereign
Bolivia-Peru Confederation,Sovereign (unrecognized),?,?,?
Brazil,Colony of,Sovereign,Sovereign,Sovereign
Bolivia,Colony of,Sovereign,Sovereign,Sovereign
Paraguay,Sovereign,Sovereign,Sovereign,Sovereign
Chile,Part of,Sovereign,Sovereign,Sovereign
Argentina (La Plata),Sovereign,Sovereign,Sovereign,Sovereign
Uruguay,Part of,Sovereign,Sovereign,Sovereign
United Kingdom,Sovereign,Sovereign,Sovereign,Sovereign
Ireland,Part of,Part of,Sovereign,Sovereign
Netherlands,Sovereign,Sovereign,Sovereign,Sovereign
Belgium,Part of,Sovereign,Sovereign,Sovereign
Luxemburg,Sovereign (limited),Sovereign (limited),Sovereign,Sovereign
France,Sovereign,Sovereign,Sovereign,Sovereign
Monaco,Protectorate of,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Liechtenstein,Sovereign (limited),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Switzerland,Sovereign,Sovereign,Sovereign,Sovereign
Spain,Sovereign,Sovereign,Sovereign,Sovereign
Gibraltar,Colony of,Colony of,Colony of,Colony of
Andorra,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Portugal,Sovereign,Sovereign,Sovereign,Sovereign
Prussia,Sovereign,Part of,?,?
Hanover,Sovereign (unrecognized),Part of,?,?
Anhalt Dessau,Sovereign (limited),?,?,?
Anhalt Köthen,Sovereign (limited),?,?,?
Anhalt Bernburg,Sovereign (limited),?,?,?
Brunswick,Sovereign (limited),Part of,?,?
Bavaria,Sovereign,Part of,Part of,Part of
Bremen,Sovereign (unrecognized),Part of,Part of,Part of
Frankfurt,Sovereign (unrecognized),Part of,?,?
Hamburg,Sovereign (unrecognized),Part of,Part of,Part of
Saxony Anhalt (Anhalt),Sovereign (limited),Part of,Part of,Part of
Hohenzollern Hechingen,Sovereign (limited),Part of,?,?
Hohenzollern Sigmaringen,Sovereign (limited),Part of,?,?
Lippe,Sovereign (limited),Part of,Part of,Part of
Mecklenburg Strelitz,Sovereign (limited),Part of,?,?
Nassau,Sovereign (limited),Part of,?,?
Germany (Zollverein),Informal,Sovereign,Sovereign,Sovereign
Saar,Part of,Part of,Protectorate of,Part of
Oldenburg,Sovereign (limited),Part of,?,?
"Reuss, Older Line",Sovereign (limited),Part of,?,?
"Reuss, Younger Line",Sovereign (limited),Part of,?,?
German Federal Republic,?,Occupied by,Sovereign (unrecognized),?
Saxe Weimar Eisenach,Sovereign (limited),Part of,?,?
Saxe Altenburg,Sovereign (limited),Part of,Part of,Part of
Saxe Gotha Altenburg,Sovereign (limited),?,?,?
Saxe Coburg and Gotha,Sovereign (limited),Part of,?,?
German Democratic Republic,?,Occupied by,Sovereign (unrecognized),?
Saxe Meiningen,Sovereign (limited),Part of,?,?
Baden,Sovereign,Part of,Occupied by,Part of
Schwarzburg Sondershausen,Sovereign (limited),Part of,?,?
Saxony,Sovereign,Part of,Part of,Part of
Schwarzburg Rudolstadt,Sovereign (limited),Part of,?,?
Wuerttemberg,Sovereign,Part of,Occupied by,Part of
Waldeck and Pyrmont,Sovereign (limited),Part of,?,?
Hesse Electoral,Sovereign,Part of,?,?
Schaumburg Lippe,Sovereign (limited),Part of,?,?
People’s State of Hesse (Hesse Grand Ducal),Sovereign,Part of,?,?
Lübeck,Sovereign (limited),Part of,?,?
Hesse Homburg,Sovereign (limited),Part of,?,?
Mecklenburg Schwerin,Sovereign (limited),Part of,?,?
Mecklenburg,?,Part of,?,?
Mecklenburg Vorpommern,?,Occupied by,Part of,Part of
Poland,Dissolved into,Sovereign,Sovereign,Sovereign
Danzig (Free City of Danzig),Part of,Part of,Part of,Part of
Austria-Hungary (Austrian Empire),Sovereign,Sovereign,?,?
