GPH_status_group,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Part of,406,402,397,398,401,399,405,407,408,410,413,418,419,426,421,421,420,421,435,438,437,440,436,429,427,426,429,428,433,433,436,436,437,442,449,448,446,448,446,450,448,447,446,443,445,441,442,446,445,447,446,455,485,487,489,490,502,505,504,511,512,515,509,514,517,520,520,524,522,529,538,540,545,556,558,565,571,573,572,580,608,608,604,610,619,621,632,628,632,639,647,652,652,655,655,659,654,655,657,655,651,655,629,625,620,634,639,646,654,653,658,658,660,659,658,660,662,664,664,668,669,672,673,671,669,664,653,652,658,643,638,648,680,727,745,750,746,750,749,750,744,748,738,737,730,730,717,720,721,720,724,698,698,701,706,705,707,710,707,704,704,705,705,702,710,709,711,712,712,712,711,711,710,710,715,689,683,680,680,683,683,681,679,680,681,679,677,676,676,676,675,673,673,673,668,667,668,671,668,671,671,671,671,671,671
Miscellaneous,170,170,168,164,165,165,164,165,163,164,164,164,164,163,163,163,161,160,160,159,158,157,157,154,153,154,153,149,147,146,144,144,143,142,142,141,141,140,140,140,132,126,125,124,122,121,121,121,123,122,122,122,119,116,116,114,114,114,113,111,112,110,106,100,100,98,95,94,94,82,79,77,68,65,62,57,54,47,46,40,35,32,31,28,25,23,22,20,17,17,14,13,12,12,11,11,11,12,11,11,11,11,10,9,9,8,8,7,7,6,6,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non sovereign,241,245,256,266,265,270,264,262,263,259,257,253,253,247,247,250,251,253,242,242,244,244,245,253,256,256,254,261,260,263,267,268,267,263,262,264,266,266,268,265,275,280,284,287,291,294,299,299,300,299,302,298,296,297,294,297,295,292,295,295,296,293,300,302,300,301,304,307,312,322,323,332,342,350,354,359,361,368,371,375,361,367,374,374,375,378,368,376,375,369,366,364,364,363,367,357,363,362,360,363,368,365,374,378,384,372,368,365,358,361,355,357,356,355,355,355,354,353,351,346,346,344,344,350,361,376,390,392,381,388,375,359,321,267,249,244,244,239,235,234,234,227,227,217,214,209,213,204,198,195,187,186,181,173,169,165,163,159,158,150,148,147,146,147,139,137,135,133,132,133,134,134,133,133,132,137,139,139,139,138,138,138,140,140,139,141,142,143,143,143,142,144,143,143,147,147,146,143,144,144,144,144,144,144,144
Sovereign (all),234,235,236,230,230,231,233,233,234,235,235,234,237,238,244,242,243,242,240,238,239,237,241,244,242,245,244,243,241,240,235,233,234,233,229,229,230,229,229,228,229,229,229,229,227,227,222,218,216,216,211,209,184,184,185,186,178,178,178,173,171,171,175,175,174,172,172,168,170,166,160,151,146,135,132,127,123,120,115,110,101,97,95,90,83,78,77,73,71,69,67,65,66,65,64,64,65,64,63,61,61,61,75,77,81,80,80,81,81,80,78,77,77,78,78,78,79,79,80,81,81,80,80,79,76,68,67,66,71,80,79,81,86,89,90,91,91,92,93,95,98,99,108,108,118,121,128,129,131,135,139,146,150,151,152,156,156,157,159,166,169,170,171,173,173,176,176,177,178,178,178,178,179,179,178,199,203,205,206,201,201,203,203,202,203,203,204,204,204,204,205,205,206,206,206,207,207,207,209,209,209,209,209,209,209
