COW_code,COW_name,start_year,end_year,COW_status,sovereign_COW_code,GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code,change in GPH vs. COW
42,Dominican Republic (Santo Domingo),1816,1821,colony,230,42,Dominican Republic (Santo Domingo),1816,1821,Part of,1070,
42,Dominican Republic (Santo Domingo),1816,1821,part of,1070,,,,,,,not in GPH
42,Dominican Republic (Santo Domingo),1822,1844,occupied,41,42,Dominican Republic (Santo Domingo),1822,1844,Occupied by,41,
,,,,,,42,Dominican Republic (Santo Domingo),1844,1861,Sovereign,,not in COW
42,Dominican Republic (Santo Domingo),1861,1865,colony,230,42,Dominican Republic (Santo Domingo),1861,1865,Colony of,230,
42,Dominican Republic,1894,1916,sovereign,,42,Dominican Republic (Santo Domingo),1865,1916,Sovereign,,change in name and year
42,Dominican Republic (Santo Domingo),1916,1925,occupied,2,42,Dominican Republic (Santo Domingo),1916,1924,Occupied by,2,
42,Dominican Republic,1924,2016,sovereign,,42,Dominican Republic (Santo Domingo),1924,2022,Sovereign,,change in name
42,Dominican Republic (Santo Domingo),1965,1966,occupied,2,42,Dominican Republic (Santo Domingo),1965,1966,Occupied by,2,
50,West Indies Federation,1816,1958,part of,56,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,55,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,59,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,60,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,52,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,58,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,51,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,54,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,57,,,,,,,not in GPH
50,West Indies Federation,1816,1958,part of,53,,,,,,,not in GPH
50,West Indies Federation,1958,1962,colony,200,50,West Indies Federation,1958,1962,Colony of,200,
50,West Indies Federation,1962,1993,part of,51,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,59,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,58,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,57,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,56,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,55,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,54,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,53,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,52,,,,,,,not in GPH
50,West Indies Federation,1962,1993,part of,60,,,,,,,not in GPH
51,Jamaica,1816,1958,colony,200,51,Jamaica,1816,1958,Colony of,200,
51,Jamaica,1958,1962,part of,50,51,Jamaica,1958,1962,Part of,50,
51,Jamaica,1962,2016,sovereign,,51,Jamaica,1962,2022,Sovereign,,
52,Trinidad and Tobago,1816,1958,colony,200,52,Trinidad and Tobago,1889,1958,Colony of,200,change in year
52,Trinidad and Tobago,1958,1962,part of,50,52,Trinidad and Tobago,1958,1962,Part of,50,
52,Trinidad and Tobago,1962,2016,sovereign,,52,Trinidad and Tobago,1962,2022,Sovereign,,
53,Barbados,1816,1958,colony,200,53,Barbados,1816,1833,Colony of,200,change in year
,,,,,,53,Barbados,1833,1885,Part of,1055,not in COW
,,,,,,53,Barbados,1885,1958,Colony of,200,not in COW
53,Barbados,1958,1962,part of,50,53,Barbados,1958,1962,Part of,50,
53,Barbados,1962,1966,colony,200,53,Barbados,1962,1966,Colony of,200,
53,Barbados,1966,2016,sovereign,,53,Barbados,1966,2022,Sovereign,,
54,Dominica,1816,1871,colony,200,54,Dominica,1816,1871,Colony of,200,
54,Dominica,1871,1940,part of,1063,54,Dominica,1871,1940,Part of,1063,
54,Dominica,1940,1958,part of,1055,54,Dominica,1940,1958,Part of,1055,
54,Dominica,1958,1962,part of,50,54,Dominica,1958,1962,Part of,50,
54,Dominica,1962,1967,colony,200,54,Dominica,1962,1967,Colony of,200,
,,,,,,54,Dominica,1967,1978,Associated state of,200,not in COW
54,Dominica,1978,2016,sovereign,,54,Dominica,1978,2022,Sovereign,,
55,Grenada,1816,1833,colony,200,55,Grenada,1816,1833,Colony of,200,
55,Grenada,1833,1958,part of,1055,55,Grenada,1833,1958,Part of,1055,
55,Grenada,1958,1962,part of,50,55,Grenada,1958,1962,Part of,50,
55,Grenada,1962,1967,colony,200,55,Grenada,1962,1967,Colony of,200,
,,,,,,55,Grenada,1967,1974,Associated state of,200,not in COW
55,Grenada,1983,1985,occupied,2,55,Grenada,1983,1985,Occupied by,2,
55,Grenada,1974,2016,sovereign,,55,Grenada,1974,2022,Sovereign,,
56,St. Lucia,1816,1838,colony,200,56,St. Lucia,1816,1833,Colony of,200,change in year
56,St. Lucia,1838,1960,part of,1055,56,St. Lucia,1833,1958,Part of,1055,change in year
56,St. Lucia,1958,1962,part of,50,56,St. Lucia,1958,1962,Part of,50,
56,St. Lucia,1962,1967,colony,200,56,St. Lucia,1962,1967,Colony of,200,
,,,,,,56,St. Lucia,1967,1979,Associated state of,200,not in COW
56,St. Lucia,1979,2016,sovereign,,56,St. Lucia,1979,2022,Sovereign,,
57,St. Vincent and the Grenadines,1816,1833,colony,200,57,St. Vincent and the Grenadines,1816,1833,Colony of,200,
57,St. Vincent and the Grenadines,1833,1960,part of,1055,57,St. Vincent and the Grenadines,1833,1958,Part of,1055,
57,St. Vincent and the Grenadines,1958,1962,part of,50,57,St. Vincent and the Grenadines,1958,1962,Part of,50,
57,St. Vincent and the Grenadines,1962,1969,colony,200,57,St. Vincent and the Grenadines,1962,1969,Colony of,200,
,,,,,,57,St. Vincent and the Grenadines,1969,1979,Associated state of,200,not in COW
57,St. Vincent and the Grenadines,1979,2016,sovereign,,57,St. Vincent and the Grenadines,1979,2022,Sovereign,,
58,Antigua & Barbuda,1816,1871,colony,200,58,Antigua and Barbuda (Antigua),1816,1833,Colony of,200,change in name and year
58,Antigua & Barbuda,1871,1956,part of,1063,58,Antigua and Barbuda (Antigua),1833,1956,Part of,1063,change in name and year
58,Antigua & Barbuda,1956,1958,colony,200,58,Antigua and Barbuda (Antigua),1956,1958,Colony of,200,change in name
58,Antigua & Barbuda,1958,1962,part of,50,58,Antigua and Barbuda (Antigua),1958,1962,Part of,50,change in name
58,Antigua & Barbuda,1962,1967,colony,200,58,Antigua and Barbuda (Antigua),1962,1967,Colony of,200,change in name
,,,,,,58,Antigua and Barbuda (Antigua),1967,1981,Associated state of,200,not in COW
58,Antigua & Barbuda,1981,2016,sovereign,,58,Antigua and Barbuda (Antigua),1981,2022,Sovereign,,change in name
59,Montserrat,1816,1871,colony,200,59,Montserrat,1816,1833,Colony of,200,change in year
59,Montserrat,1871,1956,part of,1063,59,Montserrat,1833,1956,Part of,1063,change in year
59,Montserrat,1956,1958,colony,200,59,Montserrat,1956,1958,Colony of,200,
59,Montserrat,1958,1962,part of,50,59,Montserrat,1958,1962,Part of,50,
59,Montserrat,1962,1993,colony,200,59,Montserrat,1962,2022,Colony of,200,
60,St. Kitts-Nevis,1816,1882,part of,1076,,,,,,,not in GPH
60,St. Kitts-Nevis,1816,1882,part of,1075,,,,,,,not in GPH
60,St. Kitts-Nevis,1882,1956,part of,1063,60,St. Kitts-Nevis,1882,1956,Part of,1063,
60,St. Kitts-Nevis,1956,1958,colony,200,60,St. Kitts-Nevis,1956,1958,Colony of,200,
60,St. Kitts-Nevis,1958,1962,part of,50,60,St. Kitts-Nevis,1958,1962,Part of,50,
60,St. Kitts-Nevis,1962,1967,colony,200,60,St. Kitts-Nevis,1962,1967,Colony of,200,
,,,,,,60,St. Kitts-Nevis,1967,1983,Associated state of,200,not in COW
60,St. Kitts and Nevis,1983,2016,sovereign,,60,St. Kitts-Nevis,1983,2022,Sovereign,,
65,Guadeloupe,1816,1816,occupied,200,65,Guadeloupe,1816,1816,Occupied by,200,
65,Guadeloupe,1816,1993,colony,220,65,Guadeloupe,1816,1947,Colony of,220,change in year
,,,,,,65,Guadeloupe,1947,2022,Part of,220,not in COW
66,Martinique,1816,1993,colony,220,66,Martinique,1816,1947,Colony of,220,change in year
,,,,,,66,Martinique,1947,2022,Part of,220,not in COW
68,Netherlands Antilles,1816,1845,part of,1065,,,,,,,not in GPH
68,Netherlands Antilles,1828,1845,part of,1074,,,,,,,not in GPH
68,Netherlands Antilles,1845,1954,colony,210,68,Netherlands Antilles,1828,1954,Colony of,210,
,,,,,,68,Netherlands Antilles,1954,2010,Dependency of,210,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1065,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1066,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1067,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1068,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1069,not in COW
,,,,,,68,Netherlands Antilles,2010,2010,Dissolved into,1073,not in COW
70,Mexico,1816,1821,colony,1070,70,Mexico,1816,1821,Part of,1070,
70,Mexico,1831,2016,sovereign,,70,Mexico,1821,2022,Sovereign,,
70,Mexico,1847,1848,occupied,2,70,Mexico,1847,1848,Occupied by,2,
70,Mexico,1863,1867,occupied,220,70,Mexico,1863,1867,Occupied by,220,
80,Belize (British Honduras),1816,1862,colony,200,80,Belize (British Honduras),1816,1862,Occupied by,200,change in status
80,Belize (British Honduras),1862,1884,part of,51,,,,,,,not in GPH
80,Belize (British Honduras),1884,1981,colony,200,80,Belize (British Honduras),1862,1981,Colony of,200,change in year
80,Belize,1981,2016,sovereign,,80,Belize (British Honduras),1981,2022,Sovereign,,change in name
89,United States of Central America,1816,1821,part of,1070,89,United States of Central America,1816,1821,Part of,1070,
89,United States of Central America,1816,1821,colony,230,89,United States of Central America,1816,1821,Colony of,230,
89,United States of Central America,1822,1823,part of,70,89,United States of Central America,1822,1823,Part of,70,
,,,,,,89,United States of Central America,1823,1841,Sovereign (unrecognized),,not in COW
89,United States of Central America,1839,1993,part of,90,,,,,,,not in GPH
90,Guatemala,1816,1821,part of,1070,90,Guatemala,1816,1821,Part of,1070,
90,Guatemala,1821,1823,part of,70,90,Guatemala,1821,1823,Part of,70,
90,Guatemala,1823,1839,part of,89,90,Guatemala,1823,1839,Part of,89,
90,Guatemala,1868,2016,sovereign,,90,Guatemala,1839,2022,Sovereign,,change in year
91,Honduras,1816,1821,part of,1070,91,Honduras,1816,1821,Part of,1070,
91,Honduras,1821,1823,part of,70,91,Honduras,1821,1823,Part of,70,
91,Honduras,1823,1839,part of,89,91,Honduras,1823,1838,Part of,89,
91,Honduras,1899,2016,sovereign,,91,Honduras,1838,2022,Sovereign,,change in year
92,El Salvador,1816,1821,part of,1070,92,El Salvador,1816,1821,Part of,1070,
92,El Salvador,1821,1823,part of,70,92,El Salvador,1821,1823,Part of,70,
92,El Salvador,1823,1839,part of,89,92,El Salvador,1823,1841,Part of,89,change in year
92,El Salvador,1875,2016,sovereign,,92,El Salvador,1841,2022,Sovereign,,change in year
93,Nicaragua,1816,1821,part of,1070,93,Nicaragua,1816,1821,Part of,1070,
93,Nicaragua,1821,1823,part of,70,93,Nicaragua,1821,1823,Part of,70,
93,Nicaragua,1823,1839,part of,89,93,Nicaragua,1823,1838,Part of,89,
93,Nicaragua,1912,1925,occupied,2,93,Nicaragua,1912,1925,Occupied by,2,
93,Nicaragua,1927,1933,occupied,2,93,Nicaragua,1927,1933,Occupied by,2,
93,Nicaragua,1900,2016,sovereign,,93,Nicaragua,1838,2022,Sovereign,,change in year
94,Costa Rica,1816,1821,part of,1070,94,Costa Rica,1816,1821,Part of,1070,
94,Costa Rica,1821,1823,part of,70,94,Costa Rica,1821,1823,Part of,70,
94,Costa Rica,1823,1839,part of,89,94,Costa Rica,1823,1838,Part of,89,
94,Costa Rica,1920,2016,sovereign,,94,Costa Rica,1838,2022,Sovereign,,change in year
95,Panama,1816,1819,colony,230,95,Panama,1816,1821,Colony of,230,change in year
95,Panama,1819,1840,part of,100,,,,,,,not in GPH
95,Panama,1841,1903,part of,100,95,Panama,1821,1903,Part of,100,change in year
95,Panama,1903,2016,sovereign,,95,Panama,1903,2022,Sovereign,,
95,Panama,1989,1990,occupied,2,95,Panama,1989,1990,Occupied by,2,
96,Panama Canal Zone,1816,1903,part of,100,96,Panama Canal Zone,1816,1903,Part of,100,
96,Panama Canal Zone,1903,1979,leased,2,96,Panama Canal Zone,1903,1979,Leased to,2,
96,Panama Canal Zone,1979,1993,part of,95,96,Panama Canal Zone,1979,2022,Part of,95,
100,Colombia (Gran Colombia),1816,1819,colony,230,100,Colombia (New Granada) (Gran Colombia),1816,1819,Colony of,230,change in name
,,,,,,100,Colombia (New Granada) (Gran Colombia),1819,1831,Sovereign (unrecognized),,not in COW
100,Colombia,1831,2016,sovereign,,100,Colombia (New Granada) (Gran Colombia),1831,2022,Sovereign,,change in name
101,Venezuela,1816,1819,colony,230,101,Venezuela,1816,1819,Colony of,230,
101,Venezuela,1819,1830,part of,100,101,Venezuela,1819,1830,Part of,100,
101,Venezuela,1841,2016,sovereign,,101,Venezuela,1830,2022,Sovereign,,change in year
110,Guyana (Br. Guiana),1816,1831,part of,1113,,,,,,,not in GPH
110,Guyana (Br. Guiana),1816,1831,part of,1114,,,,,,,not in GPH
110,Guyana (Br. Guiana),1831,1966,colony,200,110,Guyana (British Guiana),1831,1966,Colony of,200,change in name
110,Guyana,1966,2016,sovereign,,110,Guyana (British Guiana),1966,2022,Sovereign,,change in name
115,Surinam,1816,1954,colony,210,115,Surinam (Dutch Guiana),1816,1828,Colony of,210,change in name and year
,,,,,,115,Surinam (Dutch Guiana),1828,1845,Part of,68,not in COW
,,,,,,115,Surinam (Dutch Guiana),1845,1954,Colony of,210,not in COW
,,,,,,115,Surinam (Dutch Guiana),1954,1975,Dependency of,210,not in COW
115,Suriname,1975,2016,sovereign,,115,Surinam (Dutch Guiana),1975,2022,Sovereign,,change in name
120,French Guyana,1816,1817,occupied,235,120,French Guiana,1816,1817,Occupied by,235,
120,French Guyana,1817,1993,colony,220,120,French Guiana,1817,1947,Colony of,220,change in year
,,,,,,120,French Guiana,1947,2022,Part of,220,not in COW
130,Ecuador,1816,1819,colony,230,130,Ecuador,1816,1819,Colony of,230,
130,Ecuador,1819,1830,part of,100,130,Ecuador,1819,1830,Part of,100,
130,Ecuador,1854,2016,sovereign,,130,Ecuador,1830,2022,Sovereign,,change in year
135,Peru,1816,1817,part of,1135,135,Peru,1816,1821,Part of,1135,change in year
135,Peru,1817,1821,colony,230,,,,,,,not in GPH
,,,,,,135,Peru,1821,1836,Sovereign (unrecognized),,not in COW
135,Peru,1836,1839,part of,136,135,Peru,1836,1839,Part of,136,
135,Peru,1880,1883,occupied,155,135,Peru,1880,1883,Occupied by,155,
135,Peru,1839,2016,sovereign,,135,Peru,1839,2022,Sovereign,,
136,Bolivia-Peru Confederation,1821,1836,part of,135,,,,,,,not in GPH
136,Bolivia-Peru Confederation,1825,1836,part of,145,,,,,,,not in GPH
,,,,,,136,Bolivia-Peru Confederation,1836,1839,Sovereign (unrecognized),,not in COW
136,Bolivia-Peru Confederation,1839,1993,part of,135,,,,,,,not in GPH
140,Brazil,1816,1822,colony,235,140,Brazil,1816,1822,Colony of,235,
140,Brazil,1822,2016,sovereign,,140,Brazil,1822,2022,Sovereign,,
145,Bolivia,1816,1816,part of,1160,145,Bolivia,1816,1825,Part of,1160,change in year
145,Bolivia,1816,1825,colony,230,145,Bolivia,1816,1825,Colony of,230,
,,,,,,145,Bolivia,1825,1836,Sovereign (unrecognized),,not in COW
145,Bolivia,1836,1839,part of,136,145,Bolivia,1836,1839,Part of,136,
145,Bolivia,1848,2016,sovereign,,145,Bolivia,1839,2022,Sovereign,,change in year
150,Paraguay,1846,1870,sovereign,,150,Paraguay,1816,2022,Sovereign,,change in year
150,Paraguay,1870,1876,occupied,140,150,Paraguay,1870,1876,Occupied by,140,
150,Paraguay,1876,2016,sovereign,,,,,,,,
155,Chile,1816,1817,part of,1135,155,Chile,1816,1817,Part of,1135,
155,Chile,1839,2016,sovereign,,155,Chile,1818,2022,Sovereign,,change in year
160,Argentina,1816,1816,part of,1160,160,Argentina (La Plata),1816,1816,Part of,1160,change in name
160,Argentina,1841,2016,sovereign,,160,Argentina (La Plata),1816,2022,Sovereign,,change in name and year
165,Uruguay,1816,1816,part of,1160,165,Uruguay,1816,1821,Part of,1160,
165,Uruguay,1816,1828,part of,140,165,Uruguay,1821,1828,Part of,140,
165,Uruguay,1882,2016,sovereign,,165,Uruguay,1828,2022,Sovereign,,change in year
200,United Kingdom,1816,2016,sovereign,,200,United Kingdom,1816,2022,Sovereign,,
205,Ireland,1816,1922,part of,200,205,Ireland,1816,1922,Part of,200,
205,Ireland,1922,2016,sovereign,,205,Ireland,1922,2022,Sovereign,,
210,Netherlands,1816,1940,sovereign,,210,Netherlands,1816,1940,Sovereign,,
210,Netherlands,1940,1945,occupied,255,210,Netherlands,1940,1945,Occupied by,255,
210,Netherlands,1945,2016,sovereign,,210,Netherlands,1945,2022,Sovereign,,
211,Belgium,1816,1830,part of,210,211,Belgium,1816,1830,Part of,210,
211,Belgium,1830,1940,sovereign,,211,Belgium,1830,1940,Sovereign,,
211,Belgium,1914,1918,occupied,255,211,Belgium,1914,1918,Occupied by,255,
211,Belgium,1940,1945,occupied,255,211,Belgium,1940,1945,Occupied by,255,
211,Belgium,1945,2016,sovereign,,211,Belgium,1945,2022,Sovereign,,
212,Luxemburg,1816,1892,part of,210,212,Luxemburg,1816,1890,Sovereign (limited),,change in status
,,,,,,212,Luxemburg,1890,1914,Sovereign (unrecognized),,not in COW
212,Luxemburg,1914,1918,occupied,255,212,Luxemburg,1914,1918,Occupied by,255,
212,Luxembourg,1920,1940,sovereign,,212,Luxemburg,1918,1940,Sovereign,,change in year
212,Luxemburg,1940,1944,occupied,255,212,Luxemburg,1940,1944,Occupied by,255,
212,Luxembourg,1944,2016,sovereign,,212,Luxemburg,1944,2022,Sovereign,,
220,France,1816,1818,occupied,200,220,France,1816,1818,Occupied by,200,
220,France,1816,1942,sovereign,,220,France,1816,1942,Sovereign,,
220,France,1871,1873,occupied,255,220,France,1871,1873,Occupied by,255,
220,France,1914,1918,occupied,255,220,France,1914,1918,Occupied by,255,
220,France,1942,1944,occupied,255,220,France,1942,1944,Occupied by,255,
220,France,1944,2016,sovereign,,220,France,1944,2022,Sovereign,,
221,Monaco,1816,1861,protectorate,325,221,Monaco,1816,1861,Protectorate of,324,
,,,,,,221,Monaco,1861,1940,Sovereign (unrecognized),,not in COW
221,Monaco,1940,1943,occupied,325,221,Monaco,1940,1943,Occupied by,325,
221,Monaco,1943,1944,occupied,255,221,Monaco,1943,1944,Occupied by,255,
,,,,,,221,Monaco,1944,1993,Sovereign (unrecognized),,not in COW
221,Monaco,1993,2016,sovereign,,221,Monaco,1993,2022,Sovereign,,
,,,,,,223,Liechtenstein,1816,1867,Sovereign (limited),,not in COW
,,,,,,223,Liechtenstein,1867,1990,Sovereign (unrecognized),,not in COW
223,Liechtenstein,1990,2016,sovereign,,223,Liechtenstein,1990,2022,Sovereign,,
225,Switzerland,1816,2016,sovereign,,225,Switzerland,1816,2022,Sovereign,,
230,Spain,1816,2016,sovereign,,230,Spain,1816,2022,Sovereign,,
231,Gibraltar,1816,1993,colony,200,231,Gibraltar,1816,2022,Colony of,200,
,,,,,,232,Andorra,1816,1993,Sovereign (unrecognized),,not in COW
232,Andorra,1993,2016,sovereign,,232,Andorra,1993,2022,Sovereign,,
235,Portugal,1816,2016,sovereign,,235,Portugal,1816,2022,Sovereign,,
,,,,,,239,Prussia,1816,1871,Sovereign,,not in COW
,,,,,,239,Prussia,1871,1947,Part of,255,not in COW
,,,,,,239,Prussia,1945,1945,Part of,290,not in COW
,,,,,,239,Prussia,1947,1947,Dissolved into,260,not in COW
,,,,,,239,Prussia,1947,1947,Dissolved into,265,not in COW
,,,,,,240,Hanover,1816,1837,Sovereign (unrecognized),,not in COW
240,Hanover,1837,1866,sovereign,,240,Hanover,1837,1866,Sovereign,,
240,Hanover,1866,1945,part of,255,240,Hanover,1866,1946,Part of,239,change in sovereign code
,,,,,,241,Anhalt Dessau,1816,1863,Sovereign (limited),,not in COW
241,Anhalt Dessau,1867,1945,part of,255,241,Anhalt Dessau,1863,1863,Dissolved into,249,"change in year, status and sovereign code"
,,,,,,242,Anhalt Köthen,1816,1853,Sovereign (limited),,not in COW
242,Anhalt Cothen,1847,1867,part of,241,242,Anhalt Köthen,1853,1853,Dissolved into,241,"change in year, status and sovereign code"
,,,,,,243,Anhalt Bernburg,1816,1863,Sovereign (limited),,not in COW
243,Anhalt Bernburg,1863,1867,part of,241,243,Anhalt Bernburg,1863,1863,Dissolved into,249,"change in year, status and sovereign code"
,,,,,,244,Brunswick,1816,1871,Sovereign (limited),,not in COW
244,Brunswick,1867,1945,part of,255,244,Brunswick,1871,1945,Part of,255,change in year
245,Bavaria,1816,1871,sovereign,,245,Bavaria,1816,1871,Sovereign,,
245,Bavaria,1871,1945,part of,255,245,Bavaria,1871,1945,Part of,255,
,,,,,,245,Bavaria,1945,1949,Occupied by,2,not in COW
,,,,,,245,Bavaria,1949,1990,Part of,260,not in COW
,,,,,,245,Bavaria,1990,2022,Part of,255,not in COW
,,,,,,246,Bremen,1816,1867,Sovereign (unrecognized),,not in COW
246,Bremen,1867,1945,part of,255,246,Bremen,1867,1945,Part of,255,
,,,,,,246,Bremen,1947,1949,Occupied by,2,not in COW
,,,,,,246,Bremen,1949,1990,Part of,260,not in COW
,,,,,,246,Bremen,1990,2022,Part of,255,not in COW
,,,,,,247,Frankfurt,1816,1867,Sovereign (unrecognized),,not in COW
247,Frankfurt,1866,1945,part of,255,247,Frankfurt,1867,1945,Part of,239,change in sovereign code
,,,,,,247,Frankfurt,1945,1949,Part of,2602,not in COW
,,,,,,247,Frankfurt,1949,1949,Dissolved into,260,not in COW
,,,,,,248,Hamburg,1816,1867,Sovereign (unrecognized),,not in COW
248,Hamburg,1867,1945,part of,255,248,Hamburg,1867,1945,Part of,255,
,,,,,,248,Hamburg,1945,1949,Occupied by,200,not in COW
,,,,,,248,Hamburg,1949,1990,Part of,260,not in COW
,,,,,,248,Hamburg,1990,2022,Part of,255,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1863,1867,Sovereign (limited),,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1867,1945,Part of,255,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1945,1947,Occupied by,365,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1947,1952,Part of,265,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1952,1952,Dissolved into,265,not in COW
,,,,,,249,Saxony Anhalt (Anhalt),1990,2022,Part of,255,not in COW
,,,,,,250,Hohenzollern Hechingen,1816,1849,Sovereign (limited),,not in COW
250,Hohenzollern Hechingen,1849,1945,part of,255,250,Hohenzollern Hechingen,1849,1946,Part of,239,change in sovereign code
,,,,,,251,Hohenzollern Sigmaringen,1816,1849,Sovereign (limited),,not in COW
251,Hohenzollern Sigmaringen,1849,1945,part of,255,251,Hohenzollern Sigmaringen,1849,1946,Part of,239,change in sovereign code
,,,,,,252,Lippe,1816,1867,Sovereign (limited),,not in COW
252,Lippe,1867,1945,part of,255,252,Lippe,1867,1947,Part of,255,
,,,,,,252,Lippe,1947,2022,Part of,2604,not in COW
,,,,,,253,Mecklenburg Strelitz,1816,1867,Sovereign (limited),,not in COW
253,Mecklenburg Strelitz,1867,1945,part of,255,253,Mecklenburg Strelitz,1867,1934,Part of,255,change in year
,,,,,,253,Mecklenburg Strelitz,1934,1934,Dissolved into,281,not in COW
,,,,,,254,Nassau,1816,1867,Sovereign (limited),,not in COW
