COW_code,COW_name,start_year,end_year,COW_status,sovereign_COW_code,GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code,change in GPH vs. COW
0,League of Nations,,,,,0,League of Nations,1920,1945,International,,change in year and status
1,United Nations,,,,,1,United Nations,1945,2022,International,,change in year and status
2,United States of America,1816,2016,sovereign,,2,United States of America,1816,2022,Sovereign,,
3,Alaska,1816,1867,colony,365,3,Alaska,1816,1867,Colony of,365,
3,Alaska,1867,1959,colony,2,3,Alaska,1867,1959,Colony of,2,
3,Alaska,1959,1993,part of,2,3,Alaska,1959,2022,Part of,2,
,,,,,,4,Hawaii (Sandwich Is.),1816,1898,Sovereign (limited),,not in COW
4,Hawaii,1898,1960,colony,2,4,Hawaii (Sandwich Is.),1898,1960,Colony of,2,change in name
4,Hawaii,1960,1993,part of,2,4,Hawaii (Sandwich Is.),1960,2022,Part of,2,change in name
5,Virgin Islands,1816,1917,colony,390,5,Virgin Islands (Danish West Indies),1816,1917,Colony of,390,change in name
5,Virgin Islands,1917,1993,colony,2,5,Virgin Islands (Danish West Indies),1917,2022,Colony of,2,change in name
6,Puerto Rico,1816,1821,part of,1070,6,Puerto Rico,1816,1821,Part of,1070,
6,Puerto Rico,1821,1898,colony,230,6,Puerto Rico,1821,1898,Colony of,230,
6,Puerto Rico,1898,1952,colony,2,6,Puerto Rico,1898,1952,Colony of,2,
,,,,,,6,Puerto Rico,1952,2022,Dependency of,2,not in COW
7,Texas,1816,1836,part of,70,7,Texas,1816,1821,Part of,1070,change in year and sovereign code
,,,,,,7,Texas,1821,1836,Part of,70,not in COW
,,,,,,7,Texas,1836,1845,Sovereign (limited),,not in COW
7,Texas,1845,1861,part of,2,7,Texas,1845,1861,Part of,2,
7,Texas,1861,1865,part of,1002,7,Texas,1861,1865,Part of,1002,
7,Texas,1865,1993,part of,2,7,Texas,1865,2022,Part of,2,
10,Greenland,1816,1953,colony,390,10,Greenland,1816,1953,Colony of,390,
10,Greenland,1941,1945,occupied,2,10,Greenland,1941,1945,Occupied by,2,
,,,,,,10,Greenland,1953,1979,Part of,390,not in COW
,,,,,,10,Greenland,1979,2022,Dependency of,390,not in COW
11,Faeroe Is.,1816,1947,colony,390,11,Faeroe Is.,1816,1947,Colony of,390,
11,Faeroe Is.,1940,1945,occupied,200,11,Faeroe Is.,1940,1945,Occupied by,200,
,,,,,,11,Faeroe Is.,1947,2022,Dependency of,390,not in COW
20,Canada,1816,1841,part of,1025,,,,,,,not in GPH
20,Canada,1841,1919,colony,200,20,Canada (Province of Canada),1841,1920,Colony of,200,change in name
20,Canada,1920,2016,sovereign,,20,Canada (Province of Canada),1920,2022,Sovereign,,change in name
21,Newfoundland,1816,1920,colony,200,21,Newfoundland and Labrador (Newfoundland),1816,1949,Colony of,200,change in name and year
21,Newfoundland,1933,1949,colony,200,,,,,,,not in GPH
21,Newfoundland,1949,1993,part of,20,21,Newfoundland and Labrador (Newfoundland),1949,2022,Part of,20,change in name
30,Bermuda,1816,1993,colony,200,30,Bermuda,1816,2022,Colony of,200,
31,Bahamas,1816,1973,colony,200,31,Bahamas,1816,1973,Colony of,200,
31,Bahamas,1973,2016,sovereign,,31,Bahamas,1973,2022,Sovereign,,
40,Cuba,1816,1821,part of,1070,40,Cuba,1816,1821,Part of,1070,
40,Cuba,1816,1898,colony,230,40,Cuba,1821,1898,Colony of,230,
40,Cuba,1898,1902,occupied,2,40,Cuba,1898,1902,Occupied by,2,
40,Cuba,1902,1906,sovereign,,40,Cuba,1902,1906,Sovereign,,
40,Cuba,1906,1909,occupied,2,40,Cuba,1906,1909,Occupied by,2,
40,Cuba,1909,2016,sovereign,,40,Cuba,1909,2022,Sovereign,,
,,,,,,41,Haiti,1816,1859,Sovereign (unrecognized),,not in COW
41,Haiti,1859,1915,sovereign,,41,Haiti,1859,1915,Sovereign,,
41,Haiti,1915,1934,occupied,2,41,Haiti,1915,1934,Occupied by,2,
41,Haiti,1934,2016,sovereign,,41,Haiti,1934,2022,Sovereign,,
